Wavelength	PD interpolated	Photopic interpolated
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	0	0
263	0	0
264	0	0
265	0	0
266	0	0
267	0	0
268	0	0
269	0	0
270	0	0
271	0	0
272	0	0
273	0	0
274	0	0
275	0	0
276	0	0
277	0	0
278	0	0
279	0	0
280	0	0
281	0	0
282	0	0
283	0	0
284	0	0
285	0	0
286	0	0
287	0	0
288	0	0
289	0	0
290	0	0
291	0	0
292	0	0
293	0	0
294	0	0
295	0	0
296	0	0
297	0	0
298	0	0
299	0	0
300	0	0
301	0	0
302	0	0
303	0	0
304	0	0
305	0	0
306	0	0
307	0	0
308	0	0
309	0	0
310	0	0
311	0	0
312	0	0
313	0	0
314	0	0
315	0	0
316	0	0
317	0	0
318	0.00125	0
319	0.00173	0
320	0.00222	0
321	0.0027	0
322	0.00319	0
323	0.00367	0
324	0.00416	0
325	0.00464	0
326	0.00513	0
327	0.00561	0
328	0.0061	0
329	0.00658	0
330	0.00707	0
331	0.00755	0
332	0.00804	0
333	0.00852	0
334	0.00901	0
335	0.00949	0
336	0.00998	0
337	0.01046	0
338	0.01095	0
339	0.01143	0
340	0.01192	0
341	0.0124	0
342	0.01289	0
343	0.01337	0
344	0.01386	0
345	0.01434	0
346	0.01483	0
347	0.01531	0
348	0.0158	0
349	0.01628	0
350	0.01677	0
351	0.01725	0
352	0.01774	0
353	0.01822	0
354	0.01871	0
355	0.01919	0
356	0.01968	0
357	0.02016	0
358	0.02065	0
359	0.02113	0
360	0.02161	3.92E-06
361	0.0221	4.39E-06
362	0.02258	4.93E-06
363	0.02307	5.53E-06
364	0.02355	6.21E-06
365	0.02404	6.97E-06
366	0.02452	7.81E-06
367	0.02501	8.77E-06
368	0.02549	9.84E-06
369	0.02598	1.10E-05
370	0.02646	1.24E-05
371	0.02695	1.39E-05
372	0.02743	1.56E-05
373	0.02792	1.74E-05
374	0.02813	1.96E-05
375	0.02833	2.20E-05
