Wavelength	Spectrum
426	2.37E-10
427	3.57E-09
428	7.77E-09
429	1.29E-08
430	1.91E-08
431	2.63E-08
432	3.46E-08
433	4.41E-08
434	5.49E-08
435	6.69E-08
436	8.02E-08
437	9.49E-08
438	1.11E-07
439	1.28E-07
440	1.47E-07
441	1.67E-07
442	1.88E-07
443	2.11E-07
444	2.35E-07
445	2.60E-07
446	2.87E-07
447	3.14E-07
448	3.43E-07
449	3.73E-07
450	4.03E-07
451	4.35E-07
452	4.67E-07
453	4.99E-07
454	5.32E-07
455	5.66E-07
456	6.00E-07
457	6.33E-07
458	6.67E-07
459	7.01E-07
460	7.35E-07
461	7.68E-07
462	8.01E-07
463	8.33E-07
464	8.64E-07
465	8.95E-07
466	9.24E-07
467	9.53E-07
468	9.80E-07
469	1.01E-06
470	1.03E-06
471	1.05E-06
472	1.08E-06
473	1.10E-06
474	1.12E-06
475	1.13E-06
476	1.15E-06
477	1.16E-06
478	1.17E-06
479	1.19E-06
480	1.19E-06
481	1.20E-06
482	1.21E-06
483	1.21E-06
484	1.21E-06
485	1.21E-06
486	1.21E-06
487	1.21E-06
488	1.21E-06
489	1.20E-06
490	1.20E-06
491	1.19E-06
492	1.18E-06
493	1.17E-06
494	1.16E-06
495	1.15E-06
496	1.14E-06
497	1.12E-06
498	1.11E-06
499	1.09E-06
500	1.08E-06
501	1.06E-06
502	1.05E-06
503	1.03E-06
504	1.02E-06
505	1.00E-06
506	9.84E-07
507	9.67E-07
508	9.50E-07
509	9.33E-07
510	9.16E-07
511	9.00E-07
512	8.83E-07
513	8.66E-07
514	8.50E-07
515	8.34E-07
516	8.17E-07
517	8.01E-07
518	7.86E-07
519	7.70E-07
520	7.55E-07
521	7.39E-07
522	7.24E-07
523	7.09E-07
524	6.95E-07
525	6.80E-07
526	6.66E-07
527	6.52E-07
528	6.38E-07
529	6.24E-07
530	6.10E-07
531	5.97E-07
532	5.83E-07
533	5.70E-07
534	5.57E-07
535	5.44E-07
536	5.32E-07
537	5.19E-07
538	5.07E-07
539	4.95E-07
540	4.83E-07
541	4.71E-07
542	4.59E-07
543	4.48E-07
544	4.36E-07
545	4.25E-07
546	4.15E-07
547	4.04E-07
548	3.93E-07
549	3.83E-07
550	3.73E-07
551	3.63E-07
552	3.54E-07
553	3.44E-07
554	3.35E-07
555	3.26E-07
556	3.17E-07
557	3.09E-07
558	3.00E-07
559	2.92E-07
560	2.84E-07
561	2.77E-07
562	2.69E-07
563	2.62E-07
564	2.55E-07
565	2.48E-07
566	2.42E-07
567	2.35E-07
568	2.29E-07
569	2.23E-07
570	2.17E-07
571	2.12E-07
572	2.06E-07
573	2.01E-07
574	1.95E-07
575	1.90E-07
576	1.85E-07
577	1.81E-07
578	1.76E-07
579	1.71E-07
580	1.67E-07
581	1.62E-07
582	1.58E-07
583	1.54E-07
584	1.50E-07
585	1.46E-07
586	1.42E-07
587	1.39E-07
588	1.35E-07
589	1.32E-07
590	1.28E-07
591	1.25E-07
592	1.22E-07
593	1.19E-07
594	1.16E-07
595	1.13E-07
596	1.10E-07
597	1.07E-07
598	1.04E-07
599	1.02E-07
600	9.93E-08
601	9.69E-08
602	9.45E-08
603	9.22E-08
604	9.00E-08
605	8.78E-08
606	8.57E-08
607	8.37E-08
608	8.17E-08
609	7.98E-08
610	7.79E-08
611	7.61E-08
612	7.43E-08
613	7.26E-08
614	7.09E-08
615	6.92E-08
616	6.76E-08
617	6.60E-08
618	6.44E-08
619	6.29E-08
620	6.14E-08
621	5.99E-08
622	5.84E-08
623	5.70E-08
624	5.55E-08
625	5.41E-08
626	5.28E-08
627	5.14E-08
628	5.01E-08
629	4.88E-08
630	4.75E-08
631	4.62E-08
632	4.50E-08
633	4.38E-08
634	4.26E-08
635	4.14E-08
636	4.03E-08
637	3.92E-08
638	3.81E-08
639	3.71E-08
640	3.61E-08
641	3.51E-08
642	3.42E-08
643	3.32E-08
644	3.23E-08
645	3.14E-08
646	3.06E-08
647	2.97E-08
648	2.89E-08
649	2.81E-08
650	2.73E-08
651	2.65E-08
652	2.57E-08
653	2.49E-08
654	2.42E-08
655	2.34E-08
656	2.26E-08
657	2.18E-08
658	2.10E-08
659	2.02E-08
660	1.93E-08
661	1.85E-08
662	1.77E-08
663	1.68E-08
664	1.59E-08
665	1.51E-08
666	1.42E-08
667	1.33E-08
668	1.25E-08
669	1.16E-08
670	1.07E-08
671	9.90E-09
672	9.08E-09
673	8.28E-09
674	7.52E-09
675	6.80E-09
676	6.13E-09
677	5.50E-09
678	4.93E-09
679	4.42E-09
680	3.97E-09
681	3.60E-09
682	3.31E-09
683	3.09E-09
684	2.96E-09
